Número de extracción;Fecha;Duración (h);Hora inicial alimentación;Hora  final alimentación;pH inicial licor liviano;Claridad inicial licor liviano (NTU);RF R1;RF R2;RF R3;RF R4;RF R5;RF R6;RF R7;RF R8;RF R9;RF R10;RF R11;RF R12;RF R13;RF R14;RF R15;RF R16;RF R17;RF R18;RF R19;RF R20;RF R21;RF R22;RF R23;RF R24;RF R25;RF R26;RF R27;Residuo total (in);Residuo total (kg);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
099;2018-04-14;25:19:00;6:11;23:00;2,69;108;0,5;1;4;1;1;1;0,5;2;3;4;1;1;2;0,5;1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1;1;0,5;0,5;30,5;761;11,0;0,7;277;120;11:30;13:00;15;11.526;277;44;4,31;2,4;;;;;;0;;;;120;14:00;14:30;2;0,5;10;6.349;254;18;4,10;4,00;9;1,1;230;90;10:00;11:30;20;9.591;230;38;4,70;2,40;;;;;;0;;;;;
100;2018-04-15;27:15:00;7:15;5:00;2,99;184;0,5;1;1;0,5;0,5;0,5;0,5;0,5;1;4;4;6;7;1;0,5;0,5;0,5;0,5;1;1;1;1;1;1;1;1;1;39,0;843;23,5;1,6;363;120;12:30;14:30;20;11.350;363;65;5,30;3,2;;;;;;0;;;;120;14:00;16:00;2;0,5;15;6.140;246;34;4,40;4,00;5;0,6;234;90;11:00;12:30;15;9.759;234;54;5,40;2,40;;;;;;0;;;;;
101;2018-04-16;22:00:00;12:00;8:30;3,13;178;0,5;0,5;10;3;1;0,5;0,5;0,5;6;3;4;3;2;0,5;0,5;0,5;0,5;0,5;0,5;1;1;2;2;1;1;1;1;47,5;856;28,5;1,9;459;90;20:00;21:30;23;11.262;459;35;5,50;4,1;;;;;;0;;;;90;18:30;20:00;2,5;0,6;28;5.617;225;37;4,95;4,00;8;1,0;172;90;23:00;0:30;28;9.340;172;27;4,92;1,84;;;;;;0;;;;;
102;2018-04-17;23:45:00;15:00;9:00;2,97;110;0,5;2;2;2;1;0,5;0,5;3;3;2;3;1;4;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1;1;1;1;1;1;34,5;680;35,5;2,4;547;120;19:00;21:00;13;11.613;362;31;5,10;3,1;120;1:00;3:00;15;11.526;184;43;4,80;1,6;120;17:00;19:00;2;0,5;20;5.930;190;16;5,30;3,20;10;1,3;128;120;17:00;19:00;25;9.424;128;43;5,40;1,36;;;;;;0;;;;;
103;2018-04-18;25:45:00;14:20;10:00;2,74;112;1;1;7;8;3;1;1;1;2;2;1;4;1;1;1;0,5;0,5;0,5;0,5;1;1;2;2;1;1;1;1;47,0;717;25,5;1,7;316;120;19:00;21:00;22;11.291;316;36;5,08;2,8;;;;;;0;;;;120;17:00;19:00;2;0,5;26;5.697;205;36;5,12;3,60;7;0,9;195;120;17:00;19:00;42;8.876;195;48;4,96;2,20;;;;;;0;;;;;
104;2018-04-20;23:20:00;17:50;12:00;3,24;199;1;4;4;8;8;1;1;1;2;1;1;2;8;1;1;0,5;0,5;0,5;0,5;0,5;0,5;1;1;2;2;0,5;0,5;54,0;1.134;35,0;2,3;590;120;2:00;4:00;10;11.701;590;41;4,69;5,0;;;;;;0;;;;60;23:00;0:00;2;0,5;25;5.721;229;78;4,70;4,00;10;1,3;315;120;23:00;1:00;13;9.843;315;36;4,80;3,20;;;;;;0;;;;;
105;2018-04-20;25:20:00;19:00;15:00;2,92;27;0,5;4;7;7;4;0,5;0;3;0;2;4;4;10;1;0,5;0,5;0,5;0,5;0,5;1;1;1;1;1;1;1;1;57,5;5.466;44,0;2,9;4.648;120;2:00;4:00;25;11.174;4.648;71;4,92;41,6;;;;;;0;;;;90;0:00;1:30;2;0,5;13;6.244;315;72;4,69;5,04;8;1,0;503;120;4:00;6:00;18;9.675;503;92;4,88;5,20;;;;;;0;;;;;
106;2018-04-21;26:45:00;20:30;16:00;3,03;150;;4;1;2;0,5;1;0,5;0,5;1;2;1;0,5;2,5;1;1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1;0,5;0,5;0,5;25,0;1.127;47,5;3,2;645;120;3:00;5:00;15;11.526;645;56;4,57;5,6;;;;;;0;;;;90;1:00;2:30;2;0,5;20;5.930;209;53;5,05;3,52;8;1,0;273;120;5:00;7:00;15;9.759;273;26;5,04;2,80;;;;;;0;;;;;
107;2018-04-22;24:40:00;0:50;19:00;3,40;378;0,5;1;1;1;0,5;0,5;0,5;0,5;0,5;0,5;1;0,5;2;1;1;0,5;0,5;0,5;0,5;1;1;1;2;1;3;0,5;1;24,5;868;18,5;1,2;443;120;3:30;5:30;28;11.086;443;38;3,02;4,00;;;;;;0;;;;120;3:30;4:30;2;0,5;25;5.721;200;35;4,85;3,50;5;0,6;224;120;8:00;10:00;28;9.338;224;30;4,88;2,40;;;;;;0;;;;;
108;2018-04-25;24:55:00;2:50;23:00;2,80;300;1;1;2;2;1;1;1;1;1;1;1;1;3;1;4;0,5;0,5;0,5;0,5;0,5;0,5;2;2;0,5;0,5;0,5;0,5;31,0;850;12,0;0,8;592;120;5:00;7:00;9;11.742;270;23;4,93;2,3;120;17:00;19:00;16;11.499;322;51;4,52;2,8;90;7:00;8:30;2;0,5;26;5.697;194;21;5,29;3,40;11;1,3;829;120;7:00;9:00;32;9.206;387;27;5,14;4,20;90;12:00;13:30;32;9.206;442;36;5,11;4,80;;
109;2018-04-26;22:45:00;4:45;23:00;2,78;166;;0,5;0,5;0,5;0,5;0,5;0,5;;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;3;3;2;2;1;1;1;1;22,5;1.024;22,0;1,5;414;120;5:00;7:00;16;11.499;414;36;5,08;3,6;;;;;;0;;;;90;8:00;9:30;2;0,5;32;5.449;196;41;5,14;3,60;7;0,9;414;120;10:00;12:00;26;9.404;414;39;5,12;4,40;;;;;;0;;;;;
110;2018-04-27;23:10:00;7:30;2:00;2,88;99;0,5;0,5;0,5;0,5;0,5;0,5;;;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1;1;1;1;1;1;1;1;16,5;1.320;6,5;0,4;738;120;10:00;12:00;18;11.438;366;24;5,04;3,2;120;14:00;16:00;13;11.613;372;49;4,55;3,2;90;10:00;11:30;2;0,5;25;5.721;160;22;4,50;2,80;14;1,8;1018;120;12:00;14:00;10;9.927;794;30;4,61;8,00;90;20:30;22:00;28;9.338;224;58;5,02;2,40;;
111;2018-04-28;24:05:00;7:45;3:30;2,76;320;9;;10;3;4;0,5;0,5;14;;20;10;8;0,5;1;0,5;0,5;0,5;0,5;0,5;1;1;1;1;1;1;1;1;91,0;996;6,5;0,4;606;120;11:30;13:30;15;11.526;323;63;5,10;2,8;120;10:00;11:30;20;11.350;284;42;5,15;2,5;90;10:00;11:30;2;0,5;23;5.820;146;38;5,15;2,50;8;1,0;528;120;13:30;15:00;20;9.591;528;78;5,02;5,50;;;;;;0;;;;;
112;2018-04-27;25:20:00;8:00;4:00;3,04;108;1;3;;8;0,5;0,5;0,5;2;6;;2;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1;1;2;2;2;0,5;0,5;0,5;37,0;1.331;81,0;5,4;1.380;120;12:30;14:30;15;11.526;542;94;4,80;4,7;120;17:00;19:00;25;11.174;838;68;4,94;7,5;90;11:00;11:30;2;0,5;25;5.721;389;49;4,95;6,80;8;1,0;985;120;14:30;16:30;15;9.759;400;39;5,04;4,10;120;19:00;21:00;20;9.591;585;60;4,80;6,10;;
113;2018-04-30;27:00:00;10:00;11:00;3,06;144;3;3;2;;2;2;2;2;2;2;;3;10;2;3;0,5;0,5;0,5;0,5;5;3;2;2;2;2;1;1;58,0;1.279;25,5;1,7;740;120;14:00;16:00;20;11.350;363;75;5,40;3,2;120;18:00;20:00;28;11.086;377;75;5,38;3,4;90;12:00;13:30;2;0,5;13;6.244;418;40;5,30;6,70;10;1,2;881;120;16:00;18:00;15;9.759;498;14;4,95;5,10;120;22:00;0:00;20;9.591;384;36;4,86;4,00;;
114;2018-05-01;29:00:00;17:00;11:00;3,10;186;0,5;1;1;1;;1;1;1;1;1;0,5;0,5;2;2;2;1;1;1;1;0,5;0,5;1;1;1;1;1;1;26,5;1.273;38,0;2,5;812;120;17:30;19:30;8;11.789;340;58;4,58;2,9;120;0:00;2:00;15;11.526;473;63;4,59;4,1;30;18:00;18:30;2;0,5;15;6.140;319;67;5,12;5,20;18;2,3;614;120;22:00;0:00;20;9.591;614;63;4,67;6,40;;;;;;0;;;;;
115;2018-05-02;24:50:00;22:00;20:30;3,19;3,58;;;;3;0,5;0,5;0,5;;3;0,5;0,5;2;;0,5;;0,5;0,5;0,5;0,5;1;1;2;2;0,5;0,5;1;1;22,0;1.051;15,5;1,0;960;120;0:00;2:00;15;11.526;473;63;4,59;4,1;120;5:00;7:00;13;11.613;488;27;4,70;4,2;30;0:00;0:30;4;1,0;10;6.349;254;54;4,62;4,00;7;0,9;655;120;2:00;4:00;13;9.843;325;60;4,78;3,30;120;7:00;9:00;25;9.424;330;16;4,70;3,50;;
116;2018-05-03;28:52:00;22:50;21:00;2,94;259;3;4;1;3;1;;1;11;15;1;1;7;6;;2;0,5;0,5;0,5;0,5;0,5;0,5;4;4;1;3;0,5;0,5;72,0;711;11,0;0,7;527;150;8:30;11:00;33;10.910;218;52;4,63;2,0;90;16:00;17:30;38;10.734;309;38;4,84;2,9;90;8:30;0:00;2;0,5;28;5.617;225;59;4,72;4,00;9;1,1;269;90;11:00;12:30;20;9.591;269;68;4,62;2,80;;;;;;0;;;;;
117;2018-05-04;25:20:00;3:30;21:30;2,93;127;1;1;;0;1;1;0,5;1;1;;0,5;6;6;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1;0,5;0,5;0,5;26,5;974;56,0;3,7;1.066;180;7:45;10:45;15;11.534;369;34;4,62;3,2;135;13:45;16:00;13;11.613;697;56;4,50;6,0;90;8:00;9:30;2;0,5;25;5.721;293;88;4,80;5,12;14;1,8;952;150;11:00;13:30;15;9.759;312;83;4,77;3,20;120;16:00;18:00;15;9.759;640;56;4,84;6,56;;
118;2018-05-05;23:20:00;7:00;22:00;3,00;34;0,5;0,5;4;3;0,5;8;1;0,5;2;3;;1;3;1;1;0,5;0,5;0,5;0,5;1;1;1;1;1;1;1;1;39,0;885;20,0;1,3;921;180;8::45;11:45;23;11.262;441;75;4,61;3,9;105;15:00;16:45;15;11.526;479;36;4,51;4,2;60;9:00;10:00;2;0,5;20;5.930;247;52;4,72;4,16;5;0,6;594;185;11:45;14:50;13;9.843;197;38;4,58;2,00;90;17:00;18:30;10;9.927;397;64;5,10;4,00;;
119;2018-05-06;25:00:00;7:00;1:30;2,99;30;1;1,5;1,5;3;1;2;1;1;1;1;1;1;;2;1;0,5;0,5;0,5;0,5;1;1;2;2;1;1;1;1;31,0;797;29,0;1,9;762;240;9:30;13:30;13;11.613;232;57;4,61;2,0;150;3:30;18:00;13;11.613;530;44;4,80;4,6;60;10:00;11:00;2;0,5;15;6.140;231;42;4,52;3,76;8;1,0;860;180;23:00;0:45;10;9.927;334;39;4,50;3,36;120;18:00;20:00;18;9.675;526;48;4,77;5,44;;
120;2018-05-07;23:30:00;8:30;3:00;3,02;144;0,5;0,5;0,5;1;1;0,5;0,5;0,5;0,5;0,5;0,5;1;;1;5;0,5;0,5;0,5;0,5;0,5;0,5;2;2;0,5;0,5;0,5;;22,0;795;19,0;1,3;513;195;9:45;13:00;38;10.734;163;16;4,90;1,5;120;22:00;0:00;32;10.945;350;45;5,15;3,2;60;9:45;10:45;2;0,5;38;5.198;187;22;5,00;3,60;10;1,3;1033;180;13:00;15:30;25;9.424;445;73;4,95;4,72;120;0:00;2:00;18;9.675;588;66;4,80;6,08;;
121;2018-05-08;24:20:00;8:30;3:30;3,02;142;1;;;4;3;3;3;2;3;1;2;4;4;2;3;0,5;0,5;0,5;0,5;0;0;2;3;0,5;0,5;0,5;0,5;44,0;899;13,5;0,9;635;150;13:00;15:30;18;11.438;210;33;4,57;1,8;120;21:30;23:30;15;11.526;424;66;5,00;3,7;60;13:00;14:00;2;0,5;23;5.826;142;40;4,52;2,44;7;0,8;1043;90;15:30;17:00;15;9.759;547;34;4,60;5,60;120;0:00;2:00;8;10.011;497;17;4,61;4,96;;
122;2018-05-09;29:30:00;10:30;7:00;3,16;125;1;2;2;2;1;0,5;0,5;0,5;0,5;2;2;2;6;0,5;2;0,5;0,5;0,5;0,5;0,5;0,5;;;1;1;0,5;0,5;30,5;731;35,0;2,3;862;120;17:10;19:10;10;11.701;281;48;4,71;2,4;120;22:30;0:30;15;11.526;581;30;4,77;5,0;60;18:00;19:00;2;0,5;20;5.930;213;34;4,78;3,60;7;0,9;612;240;19:20;23:20;13;9.843;236;17;5,20;2,40;120;1:30;3:30;20;9.591;376;42;4,55;3,92;;
123;2018-05-10;25:20:00;16:00;11:00;2,81;22;2;2;4;3;1,5;1,5;1,5;1;2;3;2;1;2;1,5;1,5;0,5;0,5;0,5;0,5;1,5;2;;1;2;1;1;1;41,0;802;24,5;1,6;170;150;19:30;22:00;25;11.174;170;56;5,95;1,5;;;;;;0;;;;120;16:00;18:00;2;0,5;25;5.738;248;73;4,95;4,32;4;0,5;384;240;22:00;2:00;25;9.424;384;56;4,90;4,08;;;;;;0;;;;;
124;2018-05-11;25:50:00;18:00;14:20;2,86;93;0,5;0,5;0,5;0,5;0,5;1;0,5;0,5;0,5;0,5;0,5;;0,5;1;0,5;0,5;0,5;0,5;0,5;1;0,5;0,5;0,5;0,5;0,5;0,5;1;15,0;768;29,5;2,0;714;150;20:00;22:30;36;10.807;303;24;5,84;2,8;120;6:00;8:00;18;11.430;411;27;4,70;3,6;120;21:00;23:00;2;0,5;32;5.449;153;31;4,55;2,80;10;1,2;685;180;0:00;"02;00";18;9.668;313;38;4,94;3,24;120;8:00;10:00;32;9.206;372;16;4,72;4,04;;
125;2018-05-13;24:40:00;18:00;15:00;3,03;38;3;;4;2;0,5;0,5;1;5;;4;5;10;10;0,5;2;0,5;0,5;0,5;0,5;2;2;5;7;3;2;0,5;0,5;71,5;758;8,0;0,5;574;120;22:00;2:00;24;11.222;269;42;4,78;2,4;120;3:30;4:30;15;11.526;304;46;4,58;2,6;90;3:00;4:30;2;0,5;28;5.614;204;36;5,03;3,64;5;0,6;580;150;2:00;4:30;20;9.591;284;33;4,82;2,96;120;6:00;8:00;22;9.536;296;20;4,84;3,10;;
126;2018-05-14;25:30:00;21:00;17:00;2,87;56;3;;3;3;1;2;2;2;;2;2;3;2;0,5;1;0,5;0,5;0,5;0,5;1;5;0,504;4;1;3;1;1;45,0;1.136;47,5;3,2;817;120;1:00;3:00;23;11.262;405;42;4,95;3,6;135;5:00;7:15;18;11.438;412;;5,03;3,6;60;4:00;5:00;2;0,5;20;5.944;309;26;5,03;5,20;22;2,8;749;120;3:00;5:00;15;9.759;422;20;4,75;4,32;120;7:45;9:45;15;9.759;328;34;4,61;3,36;;
127;2018-05-15;25:10:00;0:00;20:00;2,70;42;0,5;;0,5;1;0,5;0,5;0,5;0,5;;1;0,5;1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1;1;0,5;0,5;4;0,5;3;0,5;21,0;717;26,5;1,8;675;120;3:00;5:00;15;11.526;212;76;4,82;1,8;90;7:00;8:30;20;11.350;463;20;4,85;4,1;120;4:00;6:00;2;0,5;15;6.140;221;53;4,59;3,60;17;2,1;682;120;7:00;9:00;20;9.591;284;30;5,10;2,96;120;11:00;13:00;15;9.759;398;66;4,76;4,08;;
128;2018-05-16;27:15:00;3:00;2:00;2,85;84;2;0,5;;0,5;0,5;0,5;0,5;1;1;;0,5;0,5;1;0,5;1;0,5;0,5;0,5;0,5;2;2;2;3;1;1;2;0,5;25,5;1.196;8,0;0,5;1.157;120;6:00;8:00;15;11.526;553;37;4,69;4,8;90;11:30;13:00;13;11.613;604;47;4,55;5,2;60;6:00;7:00;2;0,5;15;6.140;246;62;4,51;4,00;11;1,4;728;120;9:00;11:00;10;9.927;397;60;4,98;4,00;120;13:00;15:00;18;9.668;331;28;5,04;3,42;;
129;2018-05-17;28:25:00;8:20;6:00;2,88;62;;1;1;0,5;0,5;1;1;;1;0,5;0,5;0,5;1;1;0,5;0,5;0,5;0,5;0,5;1;1;3;3;3;3;0,5;0,5;27,0;896;10,0;0,7;760;120;8:00;10:00;13;11.613;325;48;5,13;2,8;90;22:30;0:00;28;11.086;435;40;5,13;3,9;60;11:00;12:00;2;0,5;28;5.617;270;50;5,14;4,80;14;1,7;601;120;4:00;6:00;25;9.424;302;51;5,47;3,20;120;10:00;12:00;20;9.602;300;37;4,94;3,12;;
130;2018-05-18;26:00:00;12:00;10:00;2,96;64;;0,5;0,5;0,5;0,5;0,5;0,5;;1;0,5;0,5;0,5;1;0,5;0,5;0,5;0,5;0,5;0,5;2;2;4;4;2;4;0,5;0,5;28,5;859;10,0;0,7;738;120;2:00;4:00;18;11.438;366;78;5,09;3,2;90;8:00;10:00;32;10.945;372;78;5,08;3,4;120;11:00;13:00;2;0,5;38;5.198;229;47;4,80;4,40;15;1,9;538;120;6:00;8:00;25;9.424;264;80;5,30;2,80;120;13:00;15:00;18;9.668;275;67;4,32;2,84;;
131;2018-05-20;24:00:00;17:00;12:00;3,11;52;;1;1;8;2;1;1;;0,5;1;1;1;9;1;1;0,5;0,5;0,5;0,5;1;1;4;6;6;6;1;1;56,5;787;7,5;0,5;545;120;21:00;23:00;15;11.526;277;35;5,05;2,4;90;0:00;1:30;25;11.174;268;93;5,30;2,4;60;20:00;21:00;2;0,5;15;6.140;196;20;4,70;3,20;19;2,4;610;120;1:00;3:00;28;9.340;314;41;4,95;3,36;120;8:00;10:00;30;9.256;296;55;4,99;3,20;;
132;2018-05-21;27:20:00;19:30;14:00;3,03;113;0;0,5;2;4;4;2;1;;0,5;0;3;1;1;1;0,5;0,5;0,5;0,5;0,5;1;3;8;5;3;2;2;2;48,5;1.149;28,5;1,9;708;0;0:00;0:00;23;11.262;387;42;4,52;3,4;90;23:30;1:00;18;11.438;320;36;4,85;2,8;60;21:20;22:20;2;0,5;18;6.035;275;23;4,87;4,56;26;3,3;866;0;0:00;0:00;23;9.508;487;96;4,91;5,12;45;4:15;5:00;24;9.470;379;62;4,60;4,00;;
133;2018-05-22;27:30:00;22:00;18:30;2,77;27;2;0,5;;0,5;1;0,5;0,5;0,5;0,5;;0,5;2;1;0,5;0,5;0,5;0,5;0,5;0,5;1;1;0,5;0,5;2;0,5;0,5;0,5;19,0;913;20,5;1,4;623;0;4:00;5:30;15;11.526;295;43;5,02;2,6;120;11:00;13:00;10;11.701;328;38;4,89;2,8;90;0:00;0:30;2;0,5;20;5.930;133;23;5,11;2,24;26;3,3;733;90;2:30;4:00;23;9.508;485;96;2,64;5,10;75;6:30;7:45;18;9.675;248;67;4,89;2,56;;
134;2018-05-24;27:10:00;3:00;1:00;2,96;38;2;0,5;2;2;0,5;0,5;0,5;0,5;1;0,5;0,5;2;1;0,5;0,5;0,5;0,5;0,5;0,5;1;1;1;1;1;1;;;22,5;908;10,5;0,7;696;0;0:00;0:00;10;11.701;300;65;4,64;2,6;120;7:30;9:30;15;11.526;396;59;4,79;3,4;60;8:00;9:00;2;0,5;13;6.244;215;31;4,97;3,44;7;0,8;662;0;0:00;0:00;13;9.843;394;62;5,18;4,00;120;10:00;12:00;20;9.591;269;10;5,15;2,80;;
135;2018-05-25;29:20:00;7:00;10:00;2,84;40;1;1;2;1;0,5;0;1;0,5;4;0,5;0,5;0,5;1;0;0,5;0,5;0,5;0,5;0,5;2;2;2;0,5;2;0,5;0,5;0,5;26,0;676;14,5;1,0;849;0;0:00;0:00;13;11.613;362;74;4,73;3,1;120;11:30;13:30;10;11.701;487;59;5,15;4,2;60;11:30;12:30;2;0,5;25;5.721;110;21;5,50;1,92;6;0,8;577;0;0:00;0:00;25;9.424;204;144;5,20;2,16;120;13:30;15:30;10;9.927;373;107;5,20;3,76;;
136;2018-05-26;25:30:00;14:00;10:15;3,09;21;1;1;3;3;2;;1;1;1;3;1;5;6;;1;0,5;0,5;0,5;0,5;1;1;1;4;4;4;1;1;48,0;537;14,0;0,9;448;0;0:00;0:00;15;11.526;101;60;5,27;0,9;180;18:30;21:30;10;11.701;346;88;5,14;3,0;60;17:00;18:00;2;0,5;20;5.930;176;28;4,52;2,96;10;1,3;541;0;0:00;0:00;13;9.843;260;63;4,40;2,64;120;22:00;0:00;15;9.759;281;43;4,20;2,88;;
137;2018-05-27;28:45:00;15:00;15:00;2,96;79;1;3;6;10;2;;1;1;2;3;1;1;2;;1;0,5;0,5;0,5;0,5;1;1;1;1;4;4;1;1;50,0;652;29,0;1,9;549;0;0:00;0:00;15;11.526;231;62;5,30;2,0;150;21:30;0:00;10;11.701;318;74;4,49;2,7;60;19:00;20:00;2;0,5;18;6.035;203;49;4,56;3,36;17;2,1;613;0;0:00;0:00;15;9.759;219;38;5,37;2,24;120;2:00;4:00;18;9.668;394;43;4,95;4,08;;
138;2018-05-28;27:45:00;20:30;20:00;2,85;17;1;4;12;9;1;0,5;2;;0,5;7;4;;0,5;0,5;2;0,5;0,5;0,5;0,5;1;1;1;8;1;1;1;1;61,0;969;34,0;2,3;972;0;0:00;0:00;30;10.998;405;58;4,84;3,7;120;5:00;7:00;18;11.430;567;59;4,50;5,0;60;21:00;22:00;2;0,5;25;5.721;188;69;5,27;3,28;14;1,8;804;0;0:00;0:00;25;9.424;377;25;4,97;4,00;120;7:00;9:00;22;9.536;427;64;4,90;4,48;;
139;2018-05-29;25:30:00;1:00;21:00;3,11;79;;1;1;1;1;1;1;;1;1;1;1;1;1;1;0,5;0,5;0,5;0,5;1;1;1;1;1;1;1;1;23,0;819;44,0;2,9;964;0;0:00;0:00;20;11.350;300;98;4,98;2,6;120;10:00;12:00;15;11.526;664;98;4,92;5,8;60;5:00;6:00;2;0,5;10;6.349;249;51;4,80;3,92;15;1,9;833;0;0:00;0:00;18;9.675;271;55;4,91;2,80;120;8:00;10:00;15;9.759;562;64;4,92;5,76;;
140;2018-05-30;26:45:00;4:00;1:00;3,02;46;2;0,5;0,5;;0,5;0,5;0,5;0,5;0,5;0,5;;0,5;1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1;1;0,5;0,5;0,5;0,5;15,5;622;8,5;0,6;546;0;0:00;0:00;15;11.526;249;74;4,75;2,2;120;9:00;11:00;13;11.613;297;67;4,66;2,6;60;5:00;6:00;2;0,5;13;6.244;145;84;4,90;2,32;5;0,6;723;0;0:00;0:00;13;9.843;228;66;5,29;2,32;90;12:00;13:30;18;9.668;495;48;4,78;5,12;;
141;2018-06-01;23:15:00;7:30;2:00;2,95;149;1;1;1;1;1;0,5;;1;1;1;1;1;1;0,5;;0,5;0,5;0,5;0,5;1;1;1;3;1;0,5;0,5;0,5;22,5;1.020;12,0;0,8;860;0;0:00;0:00;10;11.701;360;20;4,88;3,1;120;10:00;12:00;20;11.350;499;55;4,88;4,4;60;10:30;11:30;2;0,5;10;6.349;203;61;5,12;3,20;9;1,1;1028;0;0:00;0:00;23;9.508;456;72;4,98;4,80;90;13:30;15:00;10;9.927;572;35;4,73;5,76;;
142;2018-06-02;21:30:00;8:00;1:00;3,05;24;0,5;0,5;0,5;0,5;;0,5;0,5;0,5;0,5;0,5;0,5;;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1;1;1;1;1;1;1;1;16,5;791;6,5;0,4;764;0;0:00;0:00;13;11.613;251;33;4,98;2,2;120;14:30;16:30;23;11.262;514;52;4,91;4,6;60;14:00;15:00;2;0,5;18;6.035;275;23;4,53;4,56;8;1,0;560;0;0:00;0:00;15;9.759;265;21;5,04;2,72;120;16:30;18:30;18;9.675;294;15;4,91;3,04;;
143;2018-06-03;21:50:00;8:00;2:00;3,07;47;;1;1;1;1;1;1;;1;1;1;1;1;1;1;0,5;0,5;0,5;0,5;1;1;1;1;1;1;1;1;23,0;950;13,0;0,9;470;0;0:00;0:00;20;11.350;154;46;4,80;1,4;120;11:30;13:00;23;11.262;315;33;4,76;2,8;60;11:30;12:30;2;0,5;15;6.140;319;38;4,41;5,20;8;1,0;745;0;0:00;0:00;10;9.932;477;66;4,88;4,80;120;14:00;16:30;20;9.591;269;54;5,03;2,80;;
144;2018-06-04;28:50:00;8:30;5:00;2,96;99;0;0;0,5;1;;0,5;0,5;0;0;1;1,5;4;7;0,5;4;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1;1;;0,5;27,0;833;20,5;1,4;562;0;0:00;0:00;25;11.188;224;19;4,74;2,0;120;12:00;14:00;22;11.291;339;44;4,84;3,0;60;10:30;11:30;2;0,5;20;5.944;262;36;4,68;4,40;5;0,6;761;0;0:00;0:00;18;9.668;348;48;4,96;3,60;120;16:00;18:00;24;9.470;413;50;4,84;4,36;;
145;2018-06-05;25:00:00;14:00;8:30;2,88;29;1;1;1;0;1;0,5;1;0,5;0,5;0,5;0;;1;0,5;1;0,5;0,5;0,5;0,5;1;1;1;1;0;0,5;0,5;0,5;17,0;747;9,5;0,6;331;120;16:30;18:30;25;11.174;331;33;5,09;3,0;;;;;;0;;;;60;15:00;16:00;2;0,5;38;5.198;171;43;4,90;3,28;6;0,7;480;0;0:00;0:00;20;9.591;246;63;5,60;2,56;120;18:30;20:30;20;9.591;234;64;5,07;2,44;;
146;2018-06-06;23:40:00;16:00;12:00;2,97;66;;3;3;1;1;1;1;;3;3;1;1;3;0,5;0,5;0,5;0,5;0,5;0,5;1;1;2;2;1;1;0,5;0,5;33,0;843;9,5;0,6;563;0;0:00;0:00;25;11.174;324;87;4,71;2,9;120;21:00;23:00;20;11.361;239;32;4,91;2,1;60;19:00;20:00;2;0,5;20;5.930;232;32;4,76;3,92;15;0,7;747;0;0:00;0:00;25;9.424;286;30;4,99;3,04;120;23:00;1:00;20;9.591;460;28;4,85;4,80;;
147;2018-06-07;21:30:00;16:30;12:00;2,95;99;0,5;2;2;1;1;1;1;;2;1;1;1;1;1;1;0,5;0,5;0,5;0,5;1;1;1;1;2;2;0,5;;27,0;792;22,0;0,6;638;0;0:00;0:00;20;11.350;291;93;4,90;2,6;120;19:30;21:30;18;11.438;348;55;4,75;3,0;60;20:00;21:00;2;0,5;18;6.035;174;76;5,18;2,88;18;0,0;894;0;0:00;0:00;36;9.089;327;31;4,93;3,60;120;21:30;23:30;13;9.843;567;59;4,70;5,76;;
148;2018-06-08;24:20:00;16:30;11:30;2,89;49;1;2;1;1;;2;1;1;2;2;1;1;1;1;1;0,5;0,5;0,5;0,5;1;1;1;1;0,5;0,5;1;;26,0;849;16,5;1,5;640;0;0:00;0:00;25;11.174;277;90;4,95;2,5;150;1:00;3:30;20;11.350;363;75;5,20;3,2;60;23:00;0:00;2;0,5;25;5.721;247;77;4,85;4,32;15;0,0;960;0;0:00;0:00;18;9.675;325;39;4,87;3,36;90;23:30;1:00;10;9.927;635;75;5,10;6,40;;
149;2018-06-09;23:20:00;19:20;13:00;2,90;33;0,5;0,5;0;3;;7;1;0;2;2;10;12;11;0,5;10;0,5;0,5;0,5;0,5;1;1;0;0,5;2;1;0,5;;67,5;988;18,0;1,1;1.195;150;22:00;0:30;15;11.526;378;115;4,99;3,3;150;3:00;5:30;20;11.350;817;62;5,10;7,2;60;21:00;22:00;2;0,5;30;5.512;141;85;5,02;2,56;12;0,0;901;120;0:30;2:00;15;9.759;468;37;5,50;4,80;90;6:00;7:30;38;9.005;432;20;5,50;4,80;;
